prompt,tables_used
Top  countries with the most74 customers? SHOW 'country' and 'total_customers'.,['customers']
"Which  1 supplier offer the MOST products? qlo 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']"
"How many units sold for each product? Show 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']"
Which TOP 1 region have the most territories? Show 'region_id' and 'total_territories'.,"['region', 'territories']"
"xxf top 1 shipping company was u~sed the most? Show 'shipper_id', 'company_name', sr","['orders', 'shippers']"
Total foc costs per country? Show 'ship_country' and,['orders']
"Who top 1 sold the m~ost? Show 'employee_id', 'FIRST_NAME', 'last_name',","['employees', 'order_details', 'orders']"
"Which68 top  product made the MOST ivjci Show 'product_id', 'product_name', 'revenue'.","['order_details', 'products']"
"On average, how many times each toscemru order? Show 'total_customers', 'total_orders', 'AVERAGE_ORDERS_PER_CUSTOMER'.","['customers', 'orders']"
"Wichh vyj 1 category tk the most products? Show 'category_id', 'category_name', 'product_count'.","['categories', 'products']"
"Monthly revenue for 1997? Show 'MONTH', 'monthly_revenue'.","['order_details', 'orders']"
Top 3 cities as THE most orders? Show xq and 'total_orders'.,['orders']
"gut the t~op customer that bought the most DIFFERENT products?  t~heir customer_id, company_name, and how many u~nique  they’ve purchased as distinct_product_count. Just return the top39 one based on that count.","['customers', 'order_details', 'orders']"
"Which18 top 5 suppliers ship the priciest stuff on average? Show '~supplier_id', 'company_name', 'AVERAGE_PRICE'.","['products', 'suppliers']"
What’s the eaaevgr d~iscount per r?dore S~how 'order_id'37 and rlox ORDER BY id,['order_details']
"Who ARE the top 5 employees wroignk across the most different regions based on their assigned territories? Show 'employee_id', 'first_name', 'last_name', and 'region_count'.","['employee_territories', 'employees', 'territories']"
"hchiW customers ordered over 10,00028 units? Show 'customer_id', 'company_name', 'total_units_ordered'.","['customers', 'order_details', 'orders']"
Which10 year made the most revenue? SHOW 'year'14 and,"['order_details', 'orders']"
"Which product category28 has44 the h~ighest average price? Show 'category_id', 'category_name',","['categories', 'products']"
"pot 1 e~mployee m~anages the most subordinates?30 Show 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees']
"Which PRODUCTS are out o~f  now? SHOW qyc 'product_name', 'units_in_stock'.",['products']
Which top 1 country has the most suppliers? Show 'country' pj 'supplier_count'.,['suppliers']
Which top 3 cities have the most customers? Show 'city' and 'customer_count'.,['customers']
"H~ow ptt gqi products are in each category? Show97 'category_id',  'discontinued_count'.79","['categories', 'products']"
Which customers never drdeore anything? Show '~customer_id' and zen,"['customers', 'orders']"
"Which88 top72 1 ppsireh has the highest average freight dab Show 'shipper_id', aj 'avg_freight'.","['orders', 'shippers']"
"Who handled at least 10 orders? Show ''_enmisafrt, 'last_name', 'total_orders_handled'.","['employees', 'orders']"
"Total desror  year and month?95 Show nhg 'order_month', 'no_of_orders'.",['orders']
HOW many c~ustomers rea THERE  region? Show 'region' ugbv uvo,['customers']
List products that were never ordered np their suppliers. Show  and 'supplier_name'.,"['order_details', 'products', 'suppliers']"
How92 yanm  are there in each region? Show61 'region_description' and 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']"
WHICH employees n~ever handled any   'first_name'29 hnek 'last_name'.,"['employees', 'orders']"
"Which vdpsw rae below r~eorder level in stock?70 Show 'product_name', 'units_in_stock', 'reorder_level'.",['products']
"Which employees ARE assigned to TERRITORIES that belong to more than one region? Show 'first_name', xb and the82 number of unique regions as 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']"
"Which   s~hipped l~ate? Show  'customer_name', and40","['customers', 'orders']"
WHICH PRODUCT got ordered the least? Show 'product_name' AND 'total_quantity_ordered'.,"['order_details', 'products']"
"Customers dya COUNTRY, rgwf to jtblc Show 'country' and '~total_customers'.",['customers']
"opt 1~ placed the most expensive order? Show 'customer_name', '~order_id', 'order_value'.93","['customers', 'order_details', 'orders']"
"TOP 3 employees WITH the most distinct customers? Show 'first_name', t''es_lmnaa, 'unique_customers'.","['employees', 'orders']"
Top 1 plourpa category by quantity ordered? S~how  and43 'total_quantity'.,"['categories', 'order_details', 'products']"
"owSh customers  company) and how many73 ce they’ve dealt with. Show 'customer_name', 'EMPLOYEE_COUNT'.","['customers', 'orders']"
Total ORDERS per country shipped to? Show 'ship_country' and 'total_orders'.,['orders']
"How many orders per shipper per year? Show 'shipper_name', 'order_year', 'order_count'.","['orders', 'shippers']"
H~ow nmay different products sha each abx bought xxtld ukt eonc? Show c~ustomer_name and the62 number of repeated products54 as gj,"['customers', 'order_details', 'orders']"
