prompt,tables_used
List players who were captains and also got a red card. Show their player_id and match number.,"['match_captain', 'player_booked']"
"Find matches where one team took more than 2 penalty shots. Show match number, team_id, and kick count.",['penalty_shootout']
Who are the top 3 goal scorers in group stages? Show their player_id and how many goals they scored.,['goal_details']
Which cities hosted matches where more than 4 goals were scored? Show city and match number.,"['goal_details', 'match_mast', 'soccer_venue', 'soccer_city']"
Find players who played for more than one team. Show player_id and how many teams.,['player_mast']
Which coaches worked with teams that never won a single match? Show coach_id and team_id.,"['soccer_team', 'team_coaches']"
List top 3 referees who officiated matches with the highest total audience. Show referee_id and audience sum.,['match_mast']
"For each match, how many different players were involved (played, booked, or scored)? Show match_no and total players.","['goal_details', 'player_booked', 'player_in_out']"
Which venues hosted the most matches that ended in penalty shootouts? Show venue_id and number of matches.,"['match_mast', 'match_details']"
"Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","['goal_details', 'player_mast']"
Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,['match_details']
Tim mana saja yang menang terus di babak grup? Tampilkan team_id dan total menangnya.,['match_details']
"Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","['match_mast', 'referee_mast']"
"Tampilkan pemain yang pernah diganti masuk dan juga diganti keluar di satu pertandingan yang sama. Sertakan player_id, nama, dan nomor pertandingannya.","['player_mast', 'player_in_out']"
"Siapa saja pemain yang dapat kartu dan cetak gol di pertandingan yang sama? Tampilkan player_id, nama pemain, dan nomor pertandingannya.","['goal_details', 'player_mast', 'player_booked']"
"Tampilkan tim-tim yang jumlah gol masuknya lebih banyak dari gol kebobolannya. Saya butuh team_id, goal_for, goal_agnst, dan goal_diff.",['soccer_team']
Kiper mana saja yang paling sering tampil sebagai penjaga gawang? Tampilkan player_id dan jumlah pertandingan yang mereka ikuti.,['match_details']
"Venue mana saja yang penontonnya banyak? Saya mau lihat nama venue, kota, dan jumlah penonton terbanyaknya. Urutkan dari yang terbanyak.","['soccer_venue', 'match_mast', 'soccer_city']"
Tampilkan pemain yang tidak pernah diganti keluar selama pertandingan. Sertakan player_id dan nama pemainnya.,"['player_mast', 'player_in_out']"
"Pertandingan mana yang punya 3 atau lebih pemain dari satu tim yang kena kartu? Tampilkan match_no, team_id, dan jumlah pemain yang kena kartu.",['player_booked']
"Tampilkan pemain yang cetak gol di babak pertama dan kedua di satu pertandingan. Saya mau lihat player_id, nama, dan match_no-nya.","['goal_details', 'player_mast']"
"Siapa saja pemain yang pernah cetak gol dan juga kena kartu? Tampilkan player_id, nama, total gol dan jumlah kartu.","['goal_details', 'player_mast', 'player_booked']"
Pertandingan mana yang dua asisten wasitnya dari negara yang sama? Tampilkan match_no dan country_id-nya.,"['asst_referee_mast', 'match_details']"
Kiper mana yang pernah main untuk lebih dari satu tim? Saya mau lihat player_id dan jumlah timnya.,['match_details']
"Venue mana yang jadi tempat 3 pertandingan atau lebih? Tampilkan venue_id, nama venue, dan jumlah pertandingan.","['soccer_venue', 'match_mast']"
"Kota mana yang punya pertandingan dengan penonton lebih dari 50 ribu? Saya butuh nama kota, nomor pertandingan, dan jumlah penonton.","['soccer_venue', 'match_mast', 'soccer_city']"
Tim mana yang pelatihnya ganti-ganti sampai lebih dari 2 kali? Tampilkan team_id dan jumlah pelatihnya.,['team_coaches']
Tampilkan pemain yang pernah bermain lebih dari 3 pertandingan dan tidak pernah mendapatkan kartu di pertandingan-pertandingan tersebut. Tampilkan player_id dan jumlah pertandingan yang dimainkan.,"['match_mast', 'player_mast', 'player_booked', 'player_in_out']"
"Wasit mana yang rata-rata penonton di pertandingannya lebih dari 40 ribu? Tampilkan referee_id, nama wasit, dan rata-rata penonton.","['match_mast', 'referee_mast']"
"Siapa aja pemain yang jadi kapten sekaligus mencetak goal? Tampilkan player_id, nama, jumlah gol yang unik, dan berapa kali dia jadi kapten di pertandingan yang unik.","['goal_details', 'match_captain', 'player_mast']"
Pertandingan mana aja yang ada pemain dari satu tim yang cetak gol dan juga kena kartu? Saya mau lihat team_id dan match_no.,"['goal_details', 'player_booked']"
"Hitung total pergantian pemain (masuk dan keluar) per pertandingan, lalu bagi dua. Tampilkan match_no dan rata-rata pergantian pemain.",['player_in_out']
Kota mana aja yang punya pertandingan di mana player of the match-nya juga cetak gol? Tampilkan nama kota dan match_no-nya secara unik.,"['goal_details', 'soccer_venue', 'match_mast', 'soccer_city']"
Pertandingan mana yang semua golnya tercipta di babak pertama? Saya mau lihat match_no dan jumlah golnya.,['goal_details']
Tim mana yang punya selisih gol dibagi dengan jumlah match yang dimainkan tinggi? Tampilkan team_id dan rata-ratanya. Urutkan dari yang tertinggi,['soccer_team']
Asisten wasit mana yang pertandingan yang dia bantu punya penonton di atas rata-rata? Saya mau nama wasit dan rata-rata penontonnya.,"['match_mast', 'asst_referee_mast', 'match_details']"
Pertandingan mana aja yang pergantian pemainnya lebih dari 5 kali? Tampilkan match_no dan jumlahnya.,['player_in_out']
Negara mana yang punya wasit yang memimpin lebih dari 2 pertandingan? Saya mau nama negara dan jumlah pertandingan.,"['match_mast', 'soccer_country', 'referee_mast']"
Pertandingan mana yang kipernya juga cetak gol? Saya mau lihat match_no dan player_id-nya.,"['goal_details', 'match_details']"
Pertandingan mana aja yang kipernya juga merangkap jadi kapten? Tampilkan match_no dan player_id-nya.,"['match_captain', 'match_details']"
"Pemain mana yang cetak gol lalu diganti keluar di pertandingan yang sama? Saya mau lihat unik player_id, nama, dan match_no.","['goal_details', 'player_mast', 'player_in_out']"
Pertandingan mana yang ada gol di waktu stoppage (ST)? Tampilkan match_no dan goal_id-nya.,['goal_details']
Pertandingan mana aja yang kedua timnya punya pemain yang kena kartu? Tampilkan match_no dan jumlah tim yang kena kartu.,['player_booked']
Pelatih mana yang pernah melatih lebih dari satu tim? Saya mau lihat coach_id dan jumlah timnya.,['team_coaches']
Kota mana yang total kapasitas stadionnya lebih dari 100 ribu? Tampilkan nama kota dan total kapasitasnya.,"['soccer_venue', 'soccer_city']"
Cari pertandingan di mana seorang pemain ikut dalam adu penalti (tidak peduli masuk atau tidak) dan juga mencetak gol (bukan dari penalti). Tampilkan match_no dan player_id.,"['goal_details', 'penalty_shootout']"
"Tim mana yang kebobolannya lebih banyak daripada gol yang mereka cetak? Tampilkan team_id, goal_for, dan goal_agnst.",['soccer_team']
Pemain mana saja yang ganti tim tapi tetap pakai nomor jersey yang sama? Saya mau lihat player_id dan nomor kausnya.,['player_mast']
Wasit mana yang pernah memimpin pertandingan di lebih dari satu kota? Tampilkan referee_id dan jumlah kotanya.,"['soccer_venue', 'match_mast', 'referee_mast', 'soccer_city']"
Pertandingan mana saja yang memiliki pemain dari lebih dari 3 klub berbeda yang mencetak gol? Tampilkan match_no dan jumlah klubnya.,"['goal_details', 'player_mast']"
Pemain mana yang jadi kapten dan juga kena kartu merah? Saya butuh player_id dan match_no-nya.,"['match_captain', 'player_booked']"
"Pertandingan mana yang satu timnya ambil penalti lebih dari dua kali? Tampilkan match_no, team_id, dan jumlah tendangannya.",['penalty_shootout']
Siapa 3 pencetak gol terbanyak di babak group? Tampilkan player_id dan total golnya.,['goal_details']
Kota mana yang punya pertandingan dengan lebih dari 4 gol? Saya mau lihat nama kota dan match_no-nya.,"['goal_details', 'match_mast', 'soccer_venue', 'soccer_city']"
Pemain mana yang pernah main di lebih dari satu tim? Tampilkan player_id dan jumlah timnya.,['player_mast']
Pelatih mana yang timnya nggak pernah menang? Saya mau lihat coach_id dan team_id-nya.,"['soccer_team', 'team_coaches']"
Siapa 3 wasit dengan total penonton terbanyak di semua pertandingan yang mereka pimpin? Tampilkan referee_id dan total penontonnya.,['match_mast']
"Di tiap pertandingan, berapa banyak pemain yang terlibat (main, dapat kartu, atau cetak gol)? Saya mau lihat match_no dan jumlah pemainnya.","['goal_details', 'player_booked', 'player_in_out']"
Venue mana yang paling sering jadi tempat pertandingan yang berakhir dengan adu penalti? Saya butuh venue_id dan jumlah pertandingannya.,"['match_mast', 'match_details']"
