prompt,tables_used
"Who’s the top customer that bought the most different products? Show their customer_id, company_name, and how many unique products they’ve purchased as distinct_product_count. Just return the top one based on that count.","['customers', 'order_details', 'orders']"
"Which top 5 suppliers ship the priciest stuff on average? Show 'supplier_id', 'company_name', 'average_price'.","['products', 'suppliers']"
What’s the average discount per order? Show 'order_id' and 'average_discount'. Order by id,['order_details']
"Who are the top 5 employees working across the most different regions based on their assigned territories? Show 'employee_id', 'first_name', 'last_name', and 'region_count'.","['employee_territories', 'employees', 'territories']"
"Which customers ordered over 10,000 units? Show 'customer_id', 'company_name', 'total_units_ordered'.","['customers', 'order_details', 'orders']"
Which year made the most revenue? Show 'year' and 'total_revenue'.,"['order_details', 'orders']"
"Which product category has the highest average price? Show 'category_id', 'category_name', 'average_price'.","['categories', 'products']"
"Which top 1 employee manages the most subordinates? Show 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees']
"Which products are out of stock now? Show 'product_id', 'product_name', 'units_in_stock'.",['products']
Which top 1 country has the most suppliers? Show 'country' and 'supplier_count'.,['suppliers']
Which top 3 cities have the most customers? Show 'city' and 'customer_count'.,['customers']
"How many discontinued products are in each category? Show 'category_id', 'category_name', 'discontinued_count'.","['categories', 'products']"
Which customers never ordered anything? Show 'customer_id' and 'company_name'.,"['customers', 'orders']"
"Which top 1 shipper has the highest average freight cost? Show 'shipper_id', 'company_name', 'avg_freight'.","['orders', 'shippers']"
"Who handled at least 10 orders? Show 'first_name', 'last_name', 'total_orders_handled'.","['employees', 'orders']"
"Total orders per year and month? Show 'order_year', 'order_month', 'no_of_orders'.",['orders']
How many customers are there per region? Show 'region' and 'total_customers'.,['customers']
List products that were never ordered and their suppliers. Show 'product_name' and 'supplier_name'.,"['order_details', 'products', 'suppliers']"
How many employees are there in each region? Show 'region_description' and 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']"
Which employees never handled any orders? Show 'first_name' and 'last_name'.,"['employees', 'orders']"
"Which products are below reorder level in stock? Show 'product_name', 'units_in_stock', 'reorder_level'.",['products']
"Which employees are assigned to territories that belong to more than one region? Show 'first_name', 'last_name', and the number of unique regions as 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']"
"Which orders were shipped late? Show 'order_id', 'customer_name', and 'delay_in_days'.","['customers', 'orders']"
Which product got ordered the least? Show 'product_name' and 'total_quantity_ordered'.,"['order_details', 'products']"
"Customers per country, most to least? Show 'country' and 'total_customers'.",['customers']
"Who top 1 placed the most expensive order? Show 'customer_name', 'order_id', 'order_value'.","['customers', 'order_details', 'orders']"
"Top 3 employees with the most distinct customers? Show 'first_name', 'last_name', 'unique_customers'.","['employees', 'orders']"
Top 1 popular category by quantity ordered? Show 'category_name' and 'total_quantity'.,"['categories', 'order_details', 'products']"
"Show customers (not company) and how many employees they’ve dealt with. Show 'customer_name', 'employee_count'.","['customers', 'orders']"
Total orders per country shipped to? Show 'ship_country' and 'total_orders'.,['orders']
"How many orders per shipper per year? Show 'shipper_name', 'order_year', 'order_count'.","['orders', 'shippers']"
How many different products has each customer bought more than once? Show customer_name and the number of repeated products as repeated_products.,"['customers', 'order_details', 'orders']"
