prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
"What are the top 5 facilities with the highest average access? Show id_fasilitas, nama, and avg_akses.","['fasilitas', 'fasilitasfakultas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Find me lecturers who both supervise students and publish papers. Show id_dosen, nama, total_mahasiswa_bimbingan, total_publikasi.","['mahasiswa', 'penulispublikasi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'penulispublikasi', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students both borrow books and attend 10+ sessions? Show id_mahasiswa, nama, total_buku_dipinjam, total_sesi.","['mahasiswa', 'catatankehadiran', 'peminjamanbuku']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which courses include both a session and an exam? Just show id_mk, judul, avg_nilai_akhir, and avg_nilai_ujian.","['ujian', 'matakuliah', 'hasilujian', 'sesi', 'nilai']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'ujian', 'keanggotaanklub', 'penulispublikasi', 'fakultas', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which faculties have the most variety of student majors participating in clubs? Show me id_fakultas, nama, and how many different majors those club members come from call it total_jurusan_klub. Sort by that in descending order.","['mahasiswa', 'fakultas', 'jurusan', 'keanggotaanklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which faculty head teach at least one course? Show id_kepala, nama_dosen, and jumlah_mk_diajar.","['fakultas', 'matakuliah', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"List students who got a grade for every course they attended. Show id_mahasiswa, nama, and jumlah_mk.","['mahasiswa', 'sesi', 'enrolmenkelas', 'nilai']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students both did research and got a grade above 85? Show id_mahasiswa, nama, total_proyek yang berbeda, nilai_tertinggi. Sort by grade descending","['partisipasipenelitian', 'mahasiswa', 'nilai']",[],0.0,1.0
"Find lecturers who supervise students and teach in multiple semesters. Show id_dosen, nama, total_mahasiswa, jumlah_semester.","['mahasiswa', 'sesi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'dosen', 'publikasi', 'partisipasipenelitian', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which all facilities are used by the most faculties? Show me id_fasilitas, the facility name (nama_fasilitas), and how many faculties use each one (total_fakultas). Sort the list from most to least shared.","['fasilitas', 'fasilitasfakultas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students never missed any class (status = Hadir) ? I want id_mahasiswa, nama, total_sesi_dihadiri.","['mahasiswa', 'catatankehadiran']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"List clubs where the average GPA of members is above 3.5. Show id_klub, nama_klub, avg_ipk.","['nilai', 'mahasiswa', 'keanggotaanklub', 'organisasiklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which courses have no students but still have sessions? Show id_mk, judul, jumlah_sesi.","['matakuliah', 'sesi', 'enrolmenkelas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.045454545454545414
"Which books were borrowed more than 5 times and still have copies? Show id_buku, judul, total_peminjaman, salinan_tersedia.","['bukuperpustakaan', 'peminjamanbuku']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'dosen', 'publikasi', 'partisipasipenelitian', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Who are the top 5 lecturers with the most roles (teaching, supervising, publishing)? Show id_dosen, nama, total_peran.","['mahasiswa', 'sesi', 'penulispublikasi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which student is most active overall (sessions, research, clubs)? Show id_mahasiswa, nama, total_sesi, total_proyek, total_klub.","['partisipasipenelitian', 'mahasiswa', 'catatankehadiran', 'keanggotaanklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'ujian', 'keanggotaanklub', 'penulispublikasi', 'fakultas', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which courses had the best average participation score? Show id_mk, judul, avg_partisipasi.","['matakuliah', 'sesi', 'enrolmenkelas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'ujian', 'keanggotaanklub', 'penulispublikasi', 'fakultas', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which lecturers teach in different faculties than the one they belong to? Show id_dosen, nama, assigned_fakultas, taught_fakultas.","['fakultas', 'matakuliah', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which lecturers taught the same course in 3+ semesters? Show id_dosen, nama, id_mk, judul, total_semester.","['matakuliah', 'sesi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'dosen', 'publikasi', 'partisipasipenelitian', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students were absent more than 5 times? Show id_mahasiswa, nama, total_absen.","['mahasiswa', 'catatankehadiran']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which research projects involved students from 3+ departments? Show id_proyek, judul, total_jurusan.","['partisipasipenelitian', 'mahasiswa', 'proyekpenelitian']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.045454545454545414
"Which clubs have the most variety of students from different majors (Include 1 if there are no more than 1).? Just show me the top 5. I want to see id_klub, the club name (nama), and how many different departments their members come from (total_jurusan).","['mahasiswa', 'keanggotaanklub', 'organisasiklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"What are the 3 most borrowed books and how many copies are left? Show id_buku, judul, total_peminjaman, salinan_tersedia.","['bukuperpustakaan', 'peminjamanbuku']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'dosen', 'publikasi', 'partisipasipenelitian', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students have top GPA 10% and their advisor published something? Show id_mahasiswa, nama, IPK, total_publikasi_pembimbing.","['mahasiswa', 'penulispublikasi', 'dosen', 'nilai']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"List faculties with >1 department, 5+ lecturers, and >3 projects. Show id_fakultas, nama, total_jurusan, total_dosen, total_proyek.","['fakultas', 'proyekpenelitian', 'jurusan', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students took exams, did research, and joined clubs? Show id_mahasiswa, nama, total_ujian, total_proyek, total_klub.","['partisipasipenelitian', 'mahasiswa', 'hasilujian', 'keanggotaanklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'ujian', 'keanggotaanklub', 'penulispublikasi', 'fakultas', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which faculties have a head who doesn’t teach? Show id_fakultas, nama, id_kepala, nama_kepala.","['fakultas', 'matakuliah', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which courses are taught by different lecturers in different semesters? Show id_mk, judul, total_pengajar.","['matakuliah', 'sesi']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Who got the highest score in each exam? Show id_ujian, id_mahasiswa, nama, nilai_diperoleh.","['mahasiswa', 'hasilujian']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which books were never borrowed but are in a category that others borrow often? Show id_buku, judul, kategori.","['bukuperpustakaan', 'peminjamanbuku']","['mahasiswa', 'bukuperpustakaan', 'fakultas', 'keanggotaanklub', 'jurusan', 'dosen', 'organisasiklub', 'peminjamanbuku']",1.0,0.6363636363636364
"Which students have advisors that also write publications? Show id_mahasiswa, nama, id_pembimbing, nama_dosen, total_publikasi.","['mahasiswa', 'penulispublikasi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Who are the lecturers that teach and lead research projects, but don’t supervise any students? Just show their id_dosen and nama.","['sesi', 'mahasiswa', 'proyekpenelitian', 'dosen']","['mahasiswa', 'sesi', 'proyekpenelitian', 'bukuperpustakaan', 'enrolmenkelas', 'catatankehadiran', 'fakultas', 'penulispublikasi', 'keanggotaanklub', 'jurusan', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku']",1.0,0.31818181818181823
"Which facilities are accessed by all faculties? Show id_fasilitas, nama.","['fakultas', 'fasilitas', 'fasilitasfakultas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students have joined research projects led by lecturers from a different faculty than their own? I want to see the student’s ID, name, their faculty ID, the supervising lecturer’s faculty ID, and how many of these cross-faculty projects they’ve been part of.","['partisipasipenelitian', 'mahasiswa', 'proyekpenelitian', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which clubs have only students from the same department? Show id_klub, nama_klub, id_jurusan.","['mahasiswa', 'keanggotaanklub', 'organisasiklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
Fakultas mana yang paling banyak bikin proyek penelitian? Tampilkan nama (nama) dan jumlah proyeknya (total_proyek).,"['fakultas', 'proyekpenelitian']","['mahasiswa', 'proyekpenelitian', 'bukuperpustakaan', 'fakultas', 'keanggotaanklub', 'jurusan', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku']",1.0,0.5
Dosen mana yang ngebimbing mahasiswa paling banyak? Aku butuh namanya (nama) dan total mahasiswa bimbingannya (total_mahasiswa_dibimbing).,"['mahasiswa', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'nilai', 'mahasiswa', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.13636363636363635
Mahasiswa mana yang paling rajin ikut sesi kelas? Kasih liat nama (nama) dan jumlah kehadirannya (total_kehadiran).,"['mahasiswa', 'catatankehadiran']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.045454545454545414
