prompt,is_related,predicted_is_related_baseline,predicted_is_related
Film apa yang paling sering disewa oleh pelanggan wanita?,1,1,1
"Film mana yang menghasilkan pendapatan paling tinggi per hari sewa di seluruh store, hanya berdasarkan sewaan yang sudah dikembalikan?",1,1,1
Tiap toko dapet pemasukan berapa kalau dilihat dari pembayaran oleh staffnya?,1,1,1
Film apa aja yang masuk 10% teratas berdasarkan pendapatan?,1,1,1
"Siapa staf yang paling banyak memproses pembayaran, dan berapa total yang mereka proses?",1,1,1
Pasangan aktor mana saja yang paling sering main film bareng?,1,1,1
"Which films earn the most revenue per rental day across all stores, based only on rentals that have been returned?",1,1,1
Siapa aja pelanggan yang nyewa film yang sama lebih dari sekali?,1,1,1
Which pairs of actors have appeared together in the most films?,1,1,1
Tampilkan total penyewaan film untuk tiap genre.,1,1,1
List all films that have never been rented.,1,1,1
Which customers have rented more than 10 times in the last month?,1,1,1
Apa itu docker?,0,0,0
"If a movie could talk, what would it say to you?",0,0,0
What is the meaning of life in cinema?,0,0,0
"Kalau bisa ngobrol sama tokoh film, kamu pilih siapa?",0,0,0
"Kalau disuruh jadi produser, kamu pilih genre apa?",0,0,0
What's your favorite actor of all time?,0,0,0
Siapa yang menurutmu cocok main jadi villain di film superhero?,0,0,0
"Kalau bisa bikin film sendiri, kamu mau bikin tentang apa?",0,0,0
"Kalau kamu bisa liburan ke mana aja sekarang, kamu mau ke mana?",0,0,0
What's your comfort movie?,0,0,0
Apa kamu pernah nonton film lebih dari 5 kali?,0,0,0
Coba kerjakan PR saya,0,0,0
Siapa penyanyi favoritmu waktu SMA?,0,0,0
Apa pendapatmu soal film yang durasinya lebih dari 3 jam?,0,0,0
Can you tell me a joke about movies?,0,0,0
Kenapa banyak orang suka nonton film?,0,0,0
Aktor siapa yang paling kamu suka?,0,0,0
Berapa lama Anda memikirkan cara mendapatkan data film?,0,0,0
Tolong jelaskan apa itu pair programming,0,0,0
Ceritain tentang film paling aneh yang pernah kamu tonton!,0,0,0
Apa sih yang dimaksud dengan komedi?,0,0,0
Bagaimana cara memasak wortel?,0,0,0
Berapa banyak orang yang pernah belajar cara memasak?,0,1,1
Kenapa database ini populer ya?,0,0,0
Apa makanan favorit kamu saat kecil?,0,0,0
"Kalau punya kekuatan super, kamu mau kekuatan apa?",0,0,0
Apa momen paling lucu yang pernah kamu alami?,0,0,0
"Kalau bisa ke masa lalu, kamu mau ketemu siapa?",0,0,0
Apa pendapatmu tentang teknologi masa depan?,0,0,0
Ceritakan liburan impian kamu!,0,0,0
Apa lagu yang bikin kamu semangat setiap pagi?,0,0,0
"Menurut kamu, apa arti sukses?",0,0,0
"Kalau kamu jadi hewan sehari, kamu mau jadi apa?",0,0,0
Apa buku terakhir yang kamu baca?,0,0,0
Siapa orang yang paling menginspirasi kamu?,0,0,0
"Kalau disuruh tinggal di planet lain, kamu pilih yang mana?",0,0,0
Apa kegiatan favorit kamu saat akhir pekan?,0,0,0
"Kalau punya robot, kamu mau robot itu ngapain aja?",0,0,0
Apa film paling berkesan yang pernah kamu tonton?,0,0,0
Apa cita-cita kamu waktu kecil?,0,0,0
"Kalau bisa pilih pekerjaan apa pun, kamu mau jadi apa?",0,0,0
Apa makanan yang paling kamu hindari?,0,0,0
"Kalau kamu bisa belajar skill baru dalam semalam, kamu pilih apa?",0,0,0
Apa pendapatmu tentang AI dan robot?,0,0,0
"Kalau kamu punya waktu 1 minggu tanpa internet, kamu akan ngapain?",0,0,0
Apa tempat paling indah yang pernah kamu kunjungi?,0,0,0
"Kalau bisa ngobrol sama hewan, kamu pilih hewan apa?",0,0,0
Apa genre film favorit kamu?,0,0,0
Apa kebiasaan unik yang kamu punya?,0,0,0
"Kalau kamu bisa jadi karakter film, kamu mau jadi siapa?",0,0,0
