Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Get the 3 ship methods with the highest average freight charge relative to subtotal in salesorderheader. (Columns: shipmethodid, avg_ratio)","SELECT shipmethodid,
  AVG(freight / NULLIF(subtotal, 0)) AS avg_ratio
 FROM salesorderheader
 GROUP BY shipmethodid
 ORDER BY avg_ratio DESC
 LIMIT 3;","This SQL query analyzes shipping cost efficiency by calculating the average ratio of freight costs to order subtotals for each shipping method, using data from the 'salesorderheader' table. It groups results by shipmethodid, computes the freight-to-subtotal ratio (with NULLIF to handle division by zero), and identifies the top 3 most expensive shipping methods relative to order value. Key operations include GROUP BY, AVG aggregation with arithmetic calculation, and ORDER BY with LIMIT. The output shows shipping method IDs and their average cost ratios, highlighting potentially inefficient shipping options. Business applications include logistics optimization and pricing strategy. Potential modifications: 1) add shipping method names for clarity, 2) include order volume to assess frequency of use, or 3) filter by date ranges to analyze seasonal trends. This query helps answer questions like 'Which shipping methods have the highest relative costs?' or 'How does shipping cost efficiency vary by order size?'","Which 5 customers spent the most and bought more than 5 times? Show customerid, total_orders, total_spending.","Siapa aja 5 pelanggan yang belanja lebih dari 5 kali dan ngeluarin duit paling banyak? Tampilkan customerid, total_orders, dan total_spending.","['shipmethodid', 'avg_ratio']"
"Find top 5 credit cards by usage frequency, showing creditcardid and usage_count from personcreditcard. (Columns: creditcardid, usage_count)","SELECT creditcardid, COUNT(*) AS usage_count
 FROM personcreditcard
 GROUP BY creditcardid
 ORDER BY usage_count DESC
 LIMIT 5;","This SQL query identifies the top 5 most frequently used credit cards by analyzing data from the 'personcreditcard' table. It counts the number of associations between credit cards and people, grouping by creditcardid and sorting by usage count in descending order. Key operations include GROUP BY, COUNT aggregation, and ORDER BY with LIMIT. The output shows credit card IDs and their usage counts, highlighting the most popular payment methods. Business applications include payment processing optimization and customer spending analysis. Potential modifications: 1) join with transaction data to analyze spending patterns, 2) include card type information for payment method analysis, or 3) filter by date ranges to identify usage trends. This query helps answer questions like 'Which credit cards are used most frequently?' or 'How are payment methods distributed among customers?'","What's the average price vs. cost difference for each product category? Show categoryid, categoryname, avg_cost, avg_price, and avg_diff.","Berapa rata-rata selisih harga sama biaya per kategori produk? Tampilkan categoryid, categoryname, avg_cost, avg_price, dan avg_diff.","['creditcardid', 'usage_count']"
"Identify product models that are linked to more than 1 illustration. Show productmodelid and illustration_count. (Columns: productmodelid, illustration_count)","SELECT productmodelid, COUNT(*) AS illustration_count
 FROM productmodelillustration
 GROUP BY productmodelid
 HAVING COUNT(*) > 1;","This SQL query identifies product models with multiple illustrations by analyzing the 'productmodelillustration' table. It counts the number of illustrations associated with each product model and filters for models with more than one illustration using GROUP BY and HAVING clauses. The output shows product model IDs and their corresponding illustration counts, highlighting products with rich visual documentation. Business applications include product content management and marketing material optimization. Potential modifications: 1) join with product information to identify high-value products, 2) include illustration types to analyze content diversity, or 3) filter by date ranges to track content development trends. This query helps answer questions like 'Which product models have the most comprehensive visual documentation?' or 'How does illustration count correlate with product performance?'","Which 3 vendors deliver products the fastest on average? Show vendor id, name, and avg_lead_time.","3 Vendor mana aja yang rata-rata paling cepat kirim barang? Tampilkan vendor id, name, dan avg_lead_time.","['productmodelid', 'illustration_count']"
"List employees who worked continuously in the same department for more than 2 years without a break. Show businessentityid, departmentid, total_days. (Columns: businessentityid, departmentid, total_days)","SELECT businessentityid, departmentid, 
  SUM(COALESCE(enddate, CURRENT_DATE) - startdate) AS total_days
FROM employeedepartmenthistory
GROUP BY businessentityid, departmentid
HAVING SUM(COALESCE(enddate, CURRENT_DATE) - startdate) > 730;","This SQL query identifies long-term employee assignments by calculating the total days employees have spent in each department from the 'employeedepartmenthistory' table. It handles current assignments (where enddate is null) by using COALESCE with CURRENT_DATE, sums the duration in days for each employee-department combination, and filters for assignments lasting more than 2 years (730 days). Key operations include date arithmetic, COALESCE for null handling, GROUP BY, and HAVING with a duration threshold. The output shows employee IDs, department IDs, and total assignment days, highlighting stable department assignments. Business applications include workforce planning and department stability analysis. Potential modifications: 1) join with employee/department names for readability, 2) calculate average durations across departments, or 3) analyze duration patterns by job title. This query helps answer questions like 'Which employees have the longest department tenure?' or 'How stable are our department assignments?'","Which sales territories saw more than 10% change in sales from last year? Show territoryid, name, difference_percent.","Wilayah penjualan mana yang beda penjualannya lebih dari 10% dibanding tahun lalu? Tampilkan territoryid, name, dan difference_percent.","['businessentityid', 'departmentid', 'total_days']"
"Identify vendors whose supplied products have the highest average unitprice in purchase order details. Show vendorid, avg_unitprice. (Columns: vendorid, avg_unitprice)","SELECT poh.vendorid, AVG(pod.unitprice) AS avg_unitprice
 FROM purchaseorderheader poh
 JOIN purchaseorderdetail pod ON poh.purchaseorderid = pod.purchaseorderid
 GROUP BY poh.vendorid
 ORDER BY avg_unitprice DESC
 LIMIT 5;","This SQL query identifies the top 5 vendors with the highest average unit prices by analyzing purchase order data from the 'purchaseorderheader' and 'purchaseorderdetail' tables. The query joins these tables on purchaseorderid, calculates the average unit price per vendor, and sorts the results in descending order. Key operations include JOIN, GROUP BY, AVG aggregation, and ORDER BY with LIMIT. The output provides vendor IDs and their average unit prices, highlighting potentially expensive suppliers. Business applications include vendor performance evaluation and procurement cost analysis. Potential modifications: 1) add vendor names for better identification, 2) include purchase volume to assess cost versus quantity trade-offs, or 3) filter by date ranges to analyze price trends. This query helps answer questions like 'Which vendors charge the highest average prices?' or 'How do vendor prices compare across product categories?'","Which product models have more than two product descriptions across languages? Show productmodelid, Name, and description_count.","Model produk mana yang punya lebih dari dua deskripsi dalam berbagai bahasa? Tampilkan productmodelid, Name, dan description_count.","['vendorid', 'avg_unitprice']"
"List all products that have never been sold, never reviewed, and never appeared in a work order. (Columns: productid, Name)","SELECT p.productid, p.name
 FROM product p
 LEFT JOIN salesorderdetail sod ON p.productid = sod.productid
 LEFT JOIN productreview pr ON p.productid = pr.productid
 LEFT JOIN workorder wo ON p.productid = wo.productid
 WHERE sod.productid IS NULL AND pr.productid IS NULL AND wo.productid IS NULL;","This SQL query identifies inactive products by finding items that have never been sold, reviewed, or manufactured, as evidenced by left joins to the 'salesorderdetail', 'productreview', and 'workorder' tables with NULL checks. The query returns product IDs and names for products that appear in none of these activity tables. Key operations include multiple LEFT JOINs with IS NULL conditions in the WHERE clause to detect absence of related records. The output helps identify potentially obsolete or unused inventory. Business applications include inventory optimization and product lifecycle management. Potential modifications: 1) add product categories to analyze patterns, 2) include creation dates to assess how long products have been inactive, or 3) join with purchase data to identify never-ordered items. This query helps answer questions like 'Which products are completely inactive in our system?' or 'How much inventory consists of unused items?'","Which 5 products show the biggest price gap between buying and selling? Show productid, max_purchase_price, min_sales_price, and price_spread.","Produk mana yang punya selisih harga jual dan beli paling gede? Tampilkan productid, max_purchase_price, min_sales_price, dan price_spread.","['productid', 'name']"
"Find the top 5 product models with the widest average price range (difference between min and max list price across all history). (Columns: productmodelid, price_range)","SELECT p.productmodelid,
  MAX(plph.listprice) - MIN(plph.listprice) AS price_range
 FROM product p
 JOIN productlistpricehistory plph ON p.productid = plph.productid
 GROUP BY p.productmodelid
 ORDER BY price_range DESC
 LIMIT 5;","This SQL query identifies product models with the greatest price fluctuations by analyzing the 'product' and 'productlistpricehistory' tables. It calculates the price range (difference between maximum and minimum list prices) for each product model, then sorts the results to show the top 5 models with the most significant price variations. Key operations include JOIN, GROUP BY, MAX/MIN aggregations, arithmetic calculation of price differences, and ORDER BY with LIMIT. The output shows product model IDs and their price ranges, highlighting products with volatile pricing. Business applications include pricing strategy analysis and inventory valuation. Potential modifications: 1) add time periods to analyze seasonal patterns, 2) include average prices for context, or 3) join with sales data to assess price elasticity. This query helps answer questions like 'Which products have the most unstable pricing?' or 'How does price volatility correlate with sales performance?'",Which territories have the most stable sales based on standard deviation? Show territoryid and stddev_salesquota.,Wilayah mana yang penjualannya paling stabil dilihat dari deviasi standarnya? Tampilkan territoryid dan stddev_salesquota.,"['productmodelid', 'price_range']"
"Which 5 currencies have the most volatile exchange rate (based on standard deviation of endofdayrate)? (Columns: currencycode, volatility)","SELECT currencycode, STDDEV(rate) AS volatility FROM (
  SELECT fromcurrencycode AS currencycode, endofdayrate AS rate FROM currencyrate
  UNION ALL
  SELECT tocurrencycode AS currencycode, endofdayrate AS rate FROM currencyrate
 ) AS rates
 GROUP BY currencycode
 ORDER BY volatility DESC
 LIMIT 5;","This SQL query identifies the top 5 most volatile currencies by analyzing exchange rate data from the 'currencyrate' table. It combines both 'from' and 'to' currency rates through a UNION ALL operation, then calculates the standard deviation of rates for each currency to measure volatility. Key operations include a derived table with UNION ALL, STDDEV aggregation, and ORDER BY with LIMIT. The output shows currency codes and their volatility scores, highlighting currencies with the most fluctuating exchange rates. Business applications include foreign exchange risk assessment and international pricing strategy. Potential modifications: 1) add date filters to analyze volatility trends over time, 2) include average rates for context, or 3) join with transaction data to assess financial impact. This query helps answer questions like 'Which currencies pose the highest exchange rate risk?' or 'How does currency volatility vary across regions?'",Which products consistently increased in cost every time? Show productid.,Produk apa aja yang harganya selalu naik terus tiap dicatat? Tampilkan productid.,"['currencycode', 'volatility']"
"List the top 3 employees with the most number of distinct jobtitles over time. (Columns: businessentityid, jobtitle_count)","SELECT businessentityid, COUNT(DISTINCT jobtitle) AS jobtitle_count
 FROM (
  SELECT e.businessentityid, e.jobtitle, edh.startdate
  FROM employee e
  JOIN employeedepartmenthistory edh ON e.businessentityid = edh.businessentityid
 ) AS t
 GROUP BY businessentityid
 ORDER BY jobtitle_count DESC
 LIMIT 3;","This SQL query identifies employees with the most diverse career paths by counting distinct job titles held across departments, using data from the 'employee' and 'employeedepartmenthistory' tables. It joins these tables to track job title changes, counts unique job titles per employee, and returns the top 3 employees with the most varied job histories. Key operations include JOIN, subquery, COUNT(DISTINCT), GROUP BY, and ORDER BY with LIMIT. The output shows employee IDs and their count of distinct job titles, highlighting versatile employees. Business applications include talent management and career path analysis. Potential modifications: 1) add employee names for identification, 2) include department information to analyze cross-functional experience, or 3) filter by time periods to assess career progression speed. This query helps answer questions like 'Which employees have the most diverse organizational experience?' or 'How does job mobility correlate with performance?'","Which 3 work orders had the most actual hours used per stocked unit? Show workorderid, productid, and ratio.","Work order mana yang pakai jam kerja paling banyak dibanding jumlah barangnya? Tampilkan workorderid, productid, dan ratio.","['businessentityid', 'jobtitle_count']"
"Get the total number of documents grouped by their status and folderflag. (Columns: status, folderflag, total_docs)","SELECT status, folderflag, COUNT(*) AS total_docs
 FROM document
 GROUP BY status, folderflag;","This SQL query analyzes document management patterns by counting documents grouped by their status and folder flag attributes from the 'Document' table. It provides a breakdown of document counts across different status and folder flag combinations. Key operations include GROUP BY on multiple columns and COUNT aggregation. The output reveals document distribution patterns, useful for understanding workflow states and organizational structures. Business applications include document management optimization and workflow analysis. Potential modifications: 1) add date filters to analyze temporal trends, 2) include document type categories for more granular analysis, or 3) calculate percentages of total documents for relative comparisons. This query helps answer questions like 'How are documents distributed across different statuses?' or 'What proportion of documents are flagged as folders?'",Which 3 shipping methods cost the most in freight compared to order value? Show shipmethodid and avg_ratio.,Metode kirim mana yang ongkirnya paling mahal dibanding nilai ordernya? Tampilkan shipmethodid dan avg_ratio.,"['status', 'folderflag', 'total_docs']"
"Find stores that are linked to employees who received the highest bonuses (Top 3). (Columns: store_name, employeeid, bonus)","SELECT s.name AS store_name, e.businessentityid AS employeeid, sp.bonus
 FROM store s
 JOIN salesperson sp ON s.salespersonid = sp.businessentityid
 JOIN employee e ON sp.businessentityid = e.businessentityid
 ORDER BY sp.bonus DESC
 LIMIT 3;","This SQL query identifies the top 3 employees with the highest bonuses by joining the 'store', 'salesperson', and 'employee' tables on businessentityid. It selects store names, employee IDs, and bonus amounts, ordering results by bonus in descending order and limiting to the top 3 records. The query's primary purpose is to highlight top-performing sales personnel for recognition or performance analysis. Key modifications could include: 1) Adding a date filter to analyze bonus trends over time, 2) Including sales metrics to correlate bonuses with performance, or 3) Expanding the result set to show all employees above a certain bonus threshold. This query could help answer business questions about incentive effectiveness, compensation distribution, or identifying high-performing stores based on their sales team's bonuses.",Which credit cards are used the most? Show creditcardid and usage_count.,Kartu kredit mana yang paling sering dipake? Tampilkan creditcardid dan usage_count.,"['store_name', 'employeeid', 'bonus']"
"List products where weight is above average of their sizeunitmeasure group. (Columns: productid, name, weight, avg_group_weight)","SELECT p.productid, p.name, p.weight, avg_group.avg_weight AS avg_group_weight
 FROM product p
 JOIN (
  SELECT sizeunitmeasurecode, AVG(weight) AS avg_weight
  FROM product
  WHERE weight IS NOT NULL
  GROUP BY sizeunitmeasurecode
 ) AS avg_group ON p.sizeunitmeasurecode = avg_group.sizeunitmeasurecode
 WHERE p.weight > avg_group.avg_weight;","This SQL query identifies products that are heavier than the average weight of products within their respective size unit measure groups. It joins the 'product' table with a subquery that calculates the average weight per 'sizeunitmeasurecode', then filters for products exceeding their group's average weight. The query returns product IDs, names, actual weights, and their group's average weight for comparison. This analysis could help identify unusually heavy products for quality control or shipping cost optimization. Key modifications could include: 1) Adding product categories to analyze weight outliers by category, 2) Comparing weights against median instead of average to reduce outlier impact, or 3) Including cost data to assess if heavier products correlate with higher production costs. The query could answer business questions about product standardization, potential manufacturing inconsistencies, or opportunities for weight reduction in product design.",Which product models are linked to more than 1 illustration? Show productmodelid and illustration_count.,Model produk mana yang punya lebih dari satu ilustrasi? Tampilkan productmodelid dan illustration_count.,"['productid', 'name', 'weight', 'avg_group_weight']"
"Identify top 5 products with the highest standard cost volatility over time using productcosthistory. Show productid, name, standardcost stddev, and count of records.","SELECT p.productid, p.name,
  STDDEV(pch.standardcost) AS cost_stddev,
  COUNT(*) AS record_count
FROM product p
JOIN productcosthistory pch ON p.productid = pch.productid
GROUP BY p.productid, p.name
ORDER BY cost_stddev DESC
LIMIT 5;","This SQL query identifies the top 5 products with the most volatile standard costs by calculating the standard deviation of cost changes from the 'productcosthistory' table joined with the 'product' table. For each product, it computes the standard deviation of standard costs (cost_stddev) and counts historical records, then sorts results by cost variability in descending order. This helps pinpoint products with significant cost fluctuations, useful for procurement analysis and pricing strategy. Key modifications could include: 1) Adding date filters to analyze cost volatility trends over specific periods, 2) Incorporating product categories to compare variability across different product types, or 3) Joining with vendor data to assess if cost changes correlate with supplier changes. The query could answer business questions about which products require closer cost monitoring, which suppliers cause the most price variability, or how cost stability affects profit margins.","Who worked di satu divisi lebih dari 2 tahun tanpa pindah? Show businessentityid, departmentid, and total_days.","Siapa aja yang kerja terus di satu divisi selama lebih dari 2 tahun? Tampilkan businessentityid, departmentid, dan total_days.","['productid', 'name', 'cost_stddev', 'record_count']"
